"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a"
"151","Humans","35",TRUE,"SCTinterpr",0.541666666666667,FALSE,1.6258765625
"152","Humans","37",TRUE,"SCTinterpr",0.666666666666667,FALSE,0.498246875
"153","Humans","41",TRUE,"SCTinterpr",0.597222222222222,FALSE,0.488525390625
"154","Humans","43",TRUE,"SCTinterpr",0.708333333333333,FALSE,1.2501
"155","FHL","1",TRUE,"SCTinterpr",0.457748276742405,FALSE,1.4999
"156","FHL","2",TRUE,"SCTinterpr",0.472806416903062,FALSE,0.015525
"157","FHL","3",TRUE,"SCTinterpr",0.508314087759815,FALSE,-0.46895
"158","RGMDL1","1",TRUE,"SCTinterpr",0.568644818423383,FALSE,0.8125
"159","RGMDL1","2",TRUE,"SCTinterpr",0.525756143667297,FALSE,1.3124
"160","RGMDL1","3",TRUE,"SCTinterpr",0.518439479826609,FALSE,0.03135
"161","RGMDL1","4",TRUE,"SCTinterpr",0.522241467543204,FALSE,1.997946875
