"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","B","y"
"1","WaspsNew","D139",TRUE,"configuralCuesWynne95",0.550868077719273,FALSE,4.03191762520485,1.38120225663817,0.728360759478348
"2","WaspsNew","D187",TRUE,"configuralCuesWynne95",0.737198386141236,FALSE,-7.34783615952709,2.61048522401929,-1.37654875108554
"3","WaspsNew","D201",TRUE,"configuralCuesWynne95",0.68727521206852,FALSE,-7.41445751885767,3.25358718577579,-0.55579664903012
"4","WaspsNew","D216",TRUE,"configuralCuesWynne95",0.695356736511141,FALSE,-5.01937916391085,0.577700739876035,-0.816286344428127
"5","WaspsNew","D217",TRUE,"configuralCuesWynne95",0.679590193230195,FALSE,5.64232005638294,1.03066288738375,0.756000531984849
"6","WaspsNew","D223",TRUE,"configuralCuesWynne95",0.548220100490395,FALSE,3.39663897928248,1.24495711797072,0.589720152963338
"7","WaspsNew","D229",TRUE,"configuralCuesWynne95",0.712369517950616,FALSE,-8.08959190876413,3.95858270229452,1.71762044324389
"8","WaspsNew","D239B",TRUE,"configuralCuesWynne95",0.65942871406976,FALSE,-4.65744561612931,3.13498634724181,1.6648388931629
"9","WaspsNew","D257",TRUE,"configuralCuesWynne95",0.687438466757412,FALSE,-8.72454318162329,3.46706034813311,1.1589887388343
"10","WaspsNew","D67A",TRUE,"configuralCuesWynne95",0.629138379253184,FALSE,5.31644138949701,1.38359076695905,0.98043405848565
"11","WaspsNew","D81B",TRUE,"configuralCuesWynne95",0.707250105683596,FALSE,6.83915812755328,0.820432685574941,1.26243696301059
"12","WaspsNew","D92B",TRUE,"configuralCuesWynne95",0.612454889885444,FALSE,-8.5233250128259,3.32042460215928,1.8051027046924
"13","WaspsNew","D122",TRUE,"configuralCuesWynne95",0.680613965232083,FALSE,-3.95356076465247,1.13678378612163,0.706536620053223
"14","WaspsNew","D133",TRUE,"configuralCuesWynne95",0.655180295948982,FALSE,-3.75373260113025,1.33771384847194,1.63152617929359
"15","WaspsNew","D140",TRUE,"configuralCuesWynne95",0.55997342464353,FALSE,-3.83650595686492,1.10146586850095,1.63677156626149
"16","WaspsNew","D149",TRUE,"configuralCuesWynne95",0.68061397826709,FALSE,-3.95356268665405,1.13678560071871,0.706549027784409
"17","WaspsNew","D15",TRUE,"configuralCuesWynne95",0.705112726238716,FALSE,-4.01435380161729,1.15204271607212,1.05964962656995
"18","WaspsNew","D22",TRUE,"configuralCuesWynne95",0.609769575775257,FALSE,-4.36473777028615,1.15206321169839,1.58083141978728
"19","WaspsNew","D43",TRUE,"configuralCuesWynne95",0.705113865847847,FALSE,-4.01450959953193,1.15205283743369,1.05963276359024
"20","WaspsNew","D45",TRUE,"configuralCuesWynne95",0.609769575775257,FALSE,-4.36473777028615,1.15206321169839,1.58083141978728
"21","WaspsNew","D50",TRUE,"configuralCuesWynne95",0.559973476311677,FALSE,-3.83652204686749,1.10148065841426,1.63675846943131
"22","WaspsNew","D55",TRUE,"configuralCuesWynne95",0.705111895323468,FALSE,-4.01423988678168,1.15203470809263,1.05966215273059
"23","WaspsNew","D71",TRUE,"configuralCuesWynne95",0.60976946869661,FALSE,-4.36469383585207,1.15211411532515,1.58086734893244
"24","WaspsNew","M17",TRUE,"configuralCuesWynne95",0.649254247225047,FALSE,-4.42178069942441,1.94782641298215,0.68168840662498
"25","WaspsNew","M21",TRUE,"configuralCuesWynne95",0.676674010833576,FALSE,4.86370210449962,1.16667124013804,0.699190146492358
"26","WaspsNew","M22",TRUE,"configuralCuesWynne95",0.537496595159847,FALSE,-10.6502427681587,3.79847724350538,0.324456691618833
"27","WaspsNew","M23",TRUE,"configuralCuesWynne95",0.629053222138406,FALSE,5.34163338332779,1.42832147759634,1.33115155019499
"28","WaspsNew","M28B",TRUE,"configuralCuesWynne95",0.637134470723779,FALSE,-6.64157292125125,2.70668768067112,0.157627766914544
"29","WaspsNew","M29",TRUE,"configuralCuesWynne95",0.58745959086468,FALSE,-8.37663032529312,3.33591984529461,1.06033004851947
"30","WaspsNew","M31A",TRUE,"configuralCuesWynne95",0.602292748145551,FALSE,4.69857896630516,1.26995524503592,0.766764620782812
"31","WaspsNew","M10A",TRUE,"configuralCuesWynne95",0.680614030642264,FALSE,-3.9535699470571,1.13679316099728,0.706560581081159
