"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","bMinus","bPlus","e"
"50","WaspsNew","M9",TRUE,"SiemannDelius",0.862477464444767,FALSE,1.85749007706097,1.1088674676463,2.34511687592443
"51","HumScrm","8",TRUE,"SiemannDelius",0.674722189603573,FALSE,0.751168483167821,0.348652812101433,0.339613486535477
"52","HumScrm","9",TRUE,"SiemannDelius",0.679347407149298,FALSE,0.487567542499737,0.349991209285875,0.426717127342616
"53","Camarena","5",TRUE,"SiemannDelius",0.693813527472067,FALSE,0.375720515559738,0.696520799825886,0.228089112226036
"54","HumScrm","10",TRUE,"SiemannDelius",0.67149928307233,FALSE,1.08712194817992,0.41287541065185,0.234192627445973
"55","RGMDL3","2",TRUE,"SiemannDelius",0.788841238681422,FALSE,0.235709181898899,1.95927836066605,0.32919440950445
"56","HumScrm","11",TRUE,"SiemannDelius",0.602408713296215,FALSE,0.015590820685665,1.39092762140466,1.75680919614291
"57","HumScrm","12",TRUE,"SiemannDelius",0.843390228226153,FALSE,2.04371142924484,0.148980137056504,0.251315927858944
"58","RGMDL2","1",TRUE,"SiemannDelius",0.841157538916207,FALSE,0.165521987398547,0.317862179966583,0.184000350570418
"59","Camarena","6",TRUE,"SiemannDelius",0.758602358358644,FALSE,2.57115207463242,1.69842608425729,2.08330297049931
"60","HumScrm","13",TRUE,"SiemannDelius",0.713020750814506,FALSE,0.797402663900014,0.342937681172731,0.400786601519376
"61","HumScrm","14",TRUE,"SiemannDelius",0.698890021783426,FALSE,0.985186136836621,0.379996423058927,0.357005598433564
"62","HumScrm","15",TRUE,"SiemannDelius",0.646303678185969,FALSE,0.504364443553421,0.34071927182669,0.41563373401344
"63","Camarena","7",TRUE,"SiemannDelius",0.834596516885426,FALSE,2.53768825213878,1.68097328864649,2.16008296519956
"64","RGMDL3","3",TRUE,"SiemannDelius",0.638964464997359,FALSE,1.23281133444669,0.923389057676056,1.37435417431454
"65","HumScrm","16",TRUE,"SiemannDelius",0.643397826904939,FALSE,0.682316592723619,0.513115218553582,0.453881560947329
"66","HumScrm","17",TRUE,"SiemannDelius",0.678064895742881,FALSE,1.61355918611452,0.276780005943119,0.191091390321583
"67","Camarena","8",TRUE,"SiemannDelius",0.763078784742114,FALSE,1.39860725709349,1.64431212187686,0.292503474554193
"68","HumScrm","18",TRUE,"SiemannDelius",0.514726427373634,FALSE,1.31826239977206,0.773127406487297,0.250520511052053
"69","HumScrm","19",TRUE,"SiemannDelius",0.56930913272109,FALSE,1.79326538539714,1.62767078260656,0.535911652081093
"70","HumScrm","20",TRUE,"SiemannDelius",0.678676646295521,FALSE,1.28134220377274,0.419517109780277,0.288606126190829
