"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b"
"1","WaspsNew","D139",TRUE,"RLELO",0.538654848582625,FALSE,1.44723012355483,2.07041636995765
"2","WaspsNew","D187",TRUE,"RLELO",0.510279249636833,FALSE,0.226226717224167,-0.303858084002708
"3","WaspsNew","D201",TRUE,"RLELO",0.500825409379732,FALSE,-0.476177104732118,0.053067311096978
"4","WaspsNew","D216",TRUE,"RLELO",0.526197663880971,FALSE,0.24293796184913,-0.459435310964339
"5","WaspsNew","D217",TRUE,"RLELO",0.66224901018304,FALSE,4.81663862947835,4.22715038746558
"6","WaspsNew","D223",TRUE,"RLELO",0.53908342012125,FALSE,1.41993444925997,2.0545161700434
"7","WaspsNew","D229",TRUE,"RLELO",0.504772656610912,FALSE,0.185757175765591,-0.266828169797547
"8","WaspsNew","D239B",TRUE,"RLELO",0.517403377383439,FALSE,0.185345993701932,-0.505509895622279
"9","WaspsNew","D257",TRUE,"RLELO",0.501550421248822,FALSE,0.03829090644838,-0.846488223096733
"10","WaspsNew","D67A",TRUE,"RLELO",0.612087347815538,FALSE,2.19167045150099,1.59891710778638
"11","WaspsNew","D81B",TRUE,"RLELO",0.687251846647232,FALSE,4.84011515308076,4.10780092676293
"12","WaspsNew","D92B",TRUE,"RLELO",0.490095521064338,FALSE,1.7308144074254,1.51764155505365
"13","WaspsNew","D122",TRUE,"RLELO",0.549479042940181,FALSE,-0.488303490425352,0.206359377056636
"14","WaspsNew","D133",TRUE,"RLELO",0.542805249374526,FALSE,-0.518091404593795,0.183448883386027
"15","WaspsNew","D140",TRUE,"RLELO",0.511874544902357,FALSE,0.096022846873313,-0.608725472971472
"16","WaspsNew","D149",TRUE,"RLELO",0.552714054793599,FALSE,-0.491695833351441,0.213170838410151
"17","WaspsNew","D15",TRUE,"RLELO",0.554990137790189,FALSE,-0.482266789103266,0.215374222999412
"18","WaspsNew","D22",TRUE,"RLELO",0.526288217652389,FALSE,0.131654093794589,-0.603266398590242
"19","WaspsNew","D43",TRUE,"RLELO",0.562468532379653,FALSE,-0.496948962014418,0.237359588194198
"20","WaspsNew","D45",TRUE,"RLELO",0.526288217652389,FALSE,0.131654093794589,-0.603266398590242
"21","WaspsNew","D50",TRUE,"RLELO",0.510611318416782,FALSE,0.093471347178567,-0.613631442911617
"22","WaspsNew","D55",TRUE,"RLELO",0.547591755480238,FALSE,-0.598097415147016,0.161012644068363
"23","WaspsNew","D71",TRUE,"RLELO",0.523464008120267,FALSE,-0.588391545575712,0.128679278487838
"24","WaspsNew","M17",TRUE,"RLELO",0.526131493705934,FALSE,0.236035573671545,-0.447372746095185
"25","WaspsNew","M21",TRUE,"RLELO",0.661736498276886,FALSE,2.11791974325022,1.67294352706343
"26","WaspsNew","M22",TRUE,"RLELO",0.518512627588625,FALSE,0.156006059271335,-0.918196757497145
"27","WaspsNew","M23",TRUE,"RLELO",0.612952161078733,FALSE,3.49255630036571,0.915607855728637
"28","WaspsNew","M28B",TRUE,"RLELO",0.507107952459902,FALSE,0.156676457796042,-0.446133431425231
"29","WaspsNew","M29",TRUE,"RLELO",0.500040209752317,FALSE,-0.067194280411066,0.094716774245187
"30","WaspsNew","M31A",TRUE,"RLELO",0.587050518503898,FALSE,2.28550946556835,1.54849128940836
"31","WaspsNew","M10A",TRUE,"RLELO",0.550494956880058,FALSE,0.186025360616385,-0.607951002815274
"32","WaspsNew","M10B",TRUE,"RLELO",0.534960004282971,FALSE,0.152138565543197,-0.605021885953527
"33","WaspsNew","M11",TRUE,"RLELO",0.535155220861035,FALSE,0.151370429530389,-0.605554687393632
"34","WaspsNew","M24",TRUE,"RLELO",0.544227415385299,FALSE,0.207616166246146,-0.478235042738378
"35","WaspsNew","M32A",TRUE,"RLELO",0.542805249374526,FALSE,-0.518091404593795,0.183448883386027
"36","WaspsNew","M32C",TRUE,"RLELO",0.544227415385299,FALSE,0.207616166246146,-0.478235042738378
"37","WaspsNew","M4",TRUE,"RLELO",0.544227415385299,FALSE,0.207616166246146,-0.478235042738378
"38","WaspsNew","M6",TRUE,"RLELO",0.560114417094957,FALSE,-0.490395604180949,0.223471778045505
"39","WaspsNew","M7",TRUE,"RLELO",0.534960004282971,FALSE,0.152138565543197,-0.605021885953527
"40","WaspsNew","M9",TRUE,"RLELO",0.53297290601525,FALSE,0.14005565015275,-0.599529649890266
"41","RGMDL3","1",TRUE,"RLELO",0.635395239602317,FALSE,5.36635904563081,6.13853980997786
"42","RGMDL3","2",TRUE,"RLELO",0.788203865534204,FALSE,6.08138412389352,5.41850361474973
"43","RGMDL3","3",TRUE,"RLELO",0.637826852890732,FALSE,2.58903269344339,1.27255895499836
"44","RGMDL3","4",TRUE,"RLELO",0.722205026524701,FALSE,5.18100245737495,6.62949409478656
"45","Camarena","1",TRUE,"RLELO",0.770738936944226,FALSE,2.38897699785669,2.75126441947674
"46","Camarena","4",TRUE,"RLELO",0.737564468224066,FALSE,3.58173895904542,3.00156058283778
