"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","B"
"51","Camarena","6",TRUE,"RescorlaWagnerWynne95",0.695327077086695,FALSE,4.76631774863281,0.030211029664318
"52","Humans","1",TRUE,"RescorlaWagnerWynne95",0.561041413415295,FALSE,1.90489718901649,0.015706653788453
"53","Humans","3",TRUE,"RescorlaWagnerWynne95",0.502832034943897,FALSE,0.403056000048046,0.016024981326958
"54","Humans","5",TRUE,"RescorlaWagnerWynne95",0.54031372968313,FALSE,1.83054851469147,0.02712742793547
"55","Humans","7",TRUE,"RescorlaWagnerWynne95",0.540878724603161,FALSE,1.988605710077,0.01478192112457
"56","Humans","9",TRUE,"RescorlaWagnerWynne95",0.579544588479294,FALSE,1.15286955259361,1.64212946232829
"57","Humans","11",TRUE,"RescorlaWagnerWynne95",0.630220345746168,FALSE,3.20815828983448,0.827975596786991
"58","Humans","13",TRUE,"RescorlaWagnerWynne95",0.544718018085519,FALSE,2.03307120591886,0.073279242095648
"59","Humans","15",TRUE,"RescorlaWagnerWynne95",0.646649245996309,FALSE,3.89449038417715,0.995630769850867
"60","Humans","21",TRUE,"RescorlaWagnerWynne95",0.510674890197774,FALSE,0.681418710988118,0.011748948086686
"61","Humans","23",TRUE,"RescorlaWagnerWynne95",0.593541801873783,FALSE,2.62309123952848,0.043330572986367
"62","Humans","25",TRUE,"RescorlaWagnerWynne95",0.520150206384373,FALSE,1.46868385544928,1.48823378071408
"63","Humans","27",TRUE,"RescorlaWagnerWynne95",0.588512643237357,FALSE,3.33602203327273,0.417244215796959
"64","Humans","29",TRUE,"RescorlaWagnerWynne95",0.599260892590823,FALSE,1.81898672455855,1.99777514702287
"65","Camarena","7",TRUE,"RescorlaWagnerWynne95",0.736543794583356,FALSE,4.62009834671936,0.185700108985258
"66","Humans","31",TRUE,"RescorlaWagnerWynne95",0.513084657714594,FALSE,1.45758355009376,0.115474758502591
"67","Humans","33",TRUE,"RescorlaWagnerWynne95",0.518391148568818,FALSE,1.7629167807847,0.012914568393659
"68","Humans","35",TRUE,"RescorlaWagnerWynne95",0.563853656745781,FALSE,1.98699580747176,0.018638256209494
"69","Humans","37",TRUE,"RescorlaWagnerWynne95",0.599704557023176,FALSE,3.9258121730444,0.409511706746548
"70","RGMDL2","4",TRUE,"RescorlaWagnerWynne95",0.555729789832643,FALSE,1.84547201233851,0.008372558092405
"71","Humans","41",TRUE,"RescorlaWagnerWynne95",0.544190638703968,FALSE,1.19628703386131,1.6671401466603
"72","Humans","43",TRUE,"RescorlaWagnerWynne95",0.564850594397049,FALSE,1.95191043660899,0.016108264254115
"73","Camarena","8",TRUE,"RescorlaWagnerWynne95",0.71942430479951,FALSE,4.51013184809528,0.075373275066927
"74","Camarena","9",TRUE,"RescorlaWagnerWynne95",0.669881534693321,FALSE,3.97314100672771,0.003335739698988
"75","Camarena","10",TRUE,"RescorlaWagnerWynne95",0.677418764974929,FALSE,4.33090299094167,0.471739055753116
"76","Camarena","11",TRUE,"RescorlaWagnerWynne95",0.693429775579683,FALSE,3.29433898086573,0.013174860039861
"77","Camarena","2",TRUE,"RescorlaWagnerWynne95",0.667096453262754,FALSE,4.95080130241707,0.139853395253618
"78","FHL","1",TRUE,"RescorlaWagnerWynne95",0.520318219616945,FALSE,2.22358412911175,0.038217785186355
"79","FHL","2",TRUE,"RescorlaWagnerWynne95",0.536860704501063,FALSE,4.320582593145,0.030643538541905
"80","FHL","3",TRUE,"RescorlaWagnerWynne95",0.50885913288059,FALSE,0.597012541630448,1.4503706556112
"81","HumScrm","1",TRUE,"RescorlaWagnerWynne95",0.633097340524402,FALSE,2.25407572680108,1.65600895772163
"82","HumScrm","2",TRUE,"RescorlaWagnerWynne95",0.610922476648269,FALSE,3.33938495991328,0.893400333130384
"83","HumScrm","3",TRUE,"RescorlaWagnerWynne95",0.61992132236499,FALSE,3.56584324937093,0.068381682755491
"84","HumScrm","4",TRUE,"RescorlaWagnerWynne95",0.626615214320355,FALSE,3.78400439691822,0.947455242690519
"85","HumScrm","5",TRUE,"RescorlaWagnerWynne95",0.590231418284442,FALSE,2.13804468127049,0.068223061022099
"86","HumScrm","6",TRUE,"RescorlaWagnerWynne95",0.622656466006587,FALSE,2.67696182399247,0.071334036722515
"87","HumScrm","7",TRUE,"RescorlaWagnerWynne95",0.614619453799269,FALSE,2.24192908398586,0.080478888223225
"88","HumScrm","8",TRUE,"RescorlaWagnerWynne95",0.641806431246329,FALSE,4.34421219355037,0.035614413625178
"89","HumScrm","9",TRUE,"RescorlaWagnerWynne95",0.593500372051282,FALSE,1.92272124289976,0.062084544780146
"90","HumScrm","10",TRUE,"RescorlaWagnerWynne95",0.577132822134563,FALSE,2.15219598538353,0.067599107050084
"91","HumScrm","11",TRUE,"RescorlaWagnerWynne95",0.521767150685773,FALSE,2.11274735768731,1.62615736455878
"92","HumScrm","12",TRUE,"RescorlaWagnerWynne95",0.606854945524851,FALSE,2.06968177987448,0.082962793122298
"93","HumScrm","13",TRUE,"RescorlaWagnerWynne95",0.619821074502919,FALSE,2.18201961486942,0.062917805578569
"94","HumScrm","14",TRUE,"RescorlaWagnerWynne95",0.617283695742738,FALSE,2.3332053252768,0.077934079935966
"95","HumScrm","15",TRUE,"RescorlaWagnerWynne95",0.619444325513078,FALSE,3.78032540271507,0.053997190790016
"96","HumScrm","16",TRUE,"RescorlaWagnerWynne95",0.617002997522058,FALSE,2.56266720742117,0.090983789402983
"97","HumScrm","17",TRUE,"RescorlaWagnerWynne95",0.632770760651556,FALSE,4.64601328996548,0.105753085016986
"98","HumScrm","18",TRUE,"RescorlaWagnerWynne95",0.510215607321634,FALSE,1.48223285563067,1.68898906962565
"99","HumScrm","19",TRUE,"RescorlaWagnerWynne95",0.518748297579924,FALSE,-1.63379206486248,-0.139107736687512
"100","HumScrm","20",TRUE,"RescorlaWagnerWynne95",0.578598478538564,FALSE,1.98141110708626,0.05631467588957
"101","HumScrm","21",TRUE,"RescorlaWagnerWynne95",0.510873114426992,FALSE,0.009266132128298,1.11778868588438
"102","HumScrm","22",TRUE,"RescorlaWagnerWynne95",0.539456464414321,FALSE,1.86626307046237,0.972928601002958
"103","HumScrm","23",TRUE,"RescorlaWagnerWynne95",0.625508797857014,FALSE,2.6130939967813,0.072813346078323
"104","HumScrm","24",TRUE,"RescorlaWagnerWynne95",0.635960564779552,FALSE,4.96558357463386,0.76244965513718
"105","HumScrm","25",TRUE,"RescorlaWagnerWynne95",0.608552623888678,FALSE,3.1163740306871,0.078843388761235
"106","HumScrm","26",TRUE,"RescorlaWagnerWynne95",0.571458760859754,FALSE,2.6571251659527,1.96850722244925
"107","HumScrm","27",TRUE,"RescorlaWagnerWynne95",0.612548338557383,FALSE,2.6555231765333,1.68827180529197
"108","HumScrm","28",TRUE,"RescorlaWagnerWynne95",0.611744439927774,FALSE,2.09811510461892,0.07019328852206
"109","HumScrm","29",TRUE,"RescorlaWagnerWynne95",0.631311601688651,FALSE,3.95352507138581,0.083245330457445
"110","HumScrm","30",TRUE,"RescorlaWagnerWynne95",0.635175514887277,FALSE,4.45202524074778,0.053226236630818
"111","HumScrm","31",TRUE,"RescorlaWagnerWynne95",0.617798998387948,FALSE,2.46871939692587,0.059192371710139
"112","HumScrm","32",TRUE,"RescorlaWagnerWynne95",0.61908682165703,FALSE,3.44117906671969,0.060730574632503
"113","HumScrm","33",TRUE,"RescorlaWagnerWynne95",0.607115348075167,FALSE,2.09025441061804,0.065894312487204
"114","HumScrm","34",TRUE,"RescorlaWagnerWynne95",0.518168682224774,FALSE,1.84839682715373,0.999764369247425
"115","HumScrm","35",TRUE,"RescorlaWagnerWynne95",0.629125375391719,FALSE,2.84979794349362,0.072310331860123
"116","HumScrm","36",TRUE,"RescorlaWagnerWynne95",0.59118848969627,FALSE,2.95149553997219,1.75634816416021
"117","HumScrm","37",TRUE,"RescorlaWagnerWynne95",0.60619958999158,FALSE,2.69085237813552,0.082722760721382
"118","HumScrm","38",TRUE,"RescorlaWagnerWynne95",0.633507229680813,FALSE,2.72473640228735,0.068181156900094
"119","HumScrm","39",TRUE,"RescorlaWagnerWynne95",0.619410646799474,FALSE,2.4175610626845,0.072010453679678
"120","HumScrm","40",TRUE,"RescorlaWagnerWynne95",0.641056814678643,FALSE,3.39779969675941,0.881541296087064
"121","HumScrm","41",TRUE,"RescorlaWagnerWynne95",0.615124066038929,FALSE,2.04686602862183,0.074882778754777
"122","HumScrm","42",TRUE,"RescorlaWagnerWynne95",0.59204551559869,FALSE,2.0026460721877,0.079833887271999
"123","HumScrm","43",TRUE,"RescorlaWagnerWynne95",0.609513015638038,FALSE,2.23248732228832,0.040788769695499
"124","HumScrm","44",TRUE,"RescorlaWagnerWynne95",0.62827151830645,FALSE,3.45834722833081,0.069317088122735
"125","HumScrm","45",TRUE,"RescorlaWagnerWynne95",0.610608614915081,FALSE,2.81555456517066,0.068241751880872
