"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b","t"
"52","Humans","15",TRUE,"VTTBS",0.662294996252732,FALSE,1.13748325613938,2.27250039475193,0.182708533768756
"53","Humans","21",TRUE,"VTTBS",0.754514012905858,FALSE,-2.42121935341937,0.475260854335319,5.57168234205909
"54","Humans","23",TRUE,"VTTBS",0.651382890485902,FALSE,0.862490538328776,3.36704030439187,1.66996791689975
"55","Humans","25",TRUE,"VTTBS",0.551025089674818,FALSE,0.658892738875282,2.53427410307833,1.86346770947815
"56","Humans","27",TRUE,"VTTBS",0.7078050745582,FALSE,1.4956319210153,2.66008514534955,-1.31804563919602
"57","Humans","29",TRUE,"VTTBS",0.726163080187043,FALSE,1.64215179669368,1.7738315178518,1.46861489513015
"58","Humans","31",TRUE,"VTTBS",0.651351254037929,FALSE,1.96708017274152,1.53698016415659,-0.540692088647713
"59","Humans","33",TRUE,"VTTBS",0.647886746836844,FALSE,2.56788781813292,1.98875057896672,0.021626884617342
"60","Humans","35",TRUE,"VTTBS",0.679093856366344,FALSE,-1.55438160435073,-1.18695944688139,0.176380551869611
"61","RGMDL2","1",TRUE,"VTTBS",0.839016379500274,FALSE,-1.11134532733791,0.006640438827276,1.29758366729324
"62","Humans","37",TRUE,"VTTBS",0.594185992971903,FALSE,1.51589086532465,1.56784738389239,1.5216791949346
"63","Humans","41",TRUE,"VTTBS",0.647518378196945,FALSE,1.68610193059233,1.08379026066996,1.62297924918218
"64","Humans","43",TRUE,"VTTBS",0.610162235231836,FALSE,1.54083522630075,1.36321399319582,1.4659544154174
"65","RGMDL2","2",TRUE,"VTTBS",0.863066841044166,FALSE,-0.849563019501086,0.454609714436591,1.56431545957843
"66","Camarena","1",TRUE,"VTTBS",0.598256800752093,FALSE,0.866888518633057,2.18387600846046,0.291022687575324
"67","Camarena","4",TRUE,"VTTBS",0.604628672260743,FALSE,0.846612059989581,1.83855151584116,0.263070344920813
"68","Camarena","5",TRUE,"VTTBS",0.547567297755412,FALSE,0.70560707395929,2.30966689788333,0.264560453480188
"69","RGMDL2","3",TRUE,"VTTBS",0.832010097216586,FALSE,-1.06058830298059,0.044491278808023,2.06896955163348
"70","Camarena","6",TRUE,"VTTBS",0.580175939294157,FALSE,0.775314611826343,1.89175329374,0.264990018177627
"71","RGMDL2","4",TRUE,"VTTBS",0.855850872877775,FALSE,-1.03276747733276,0.347421407948428,1.35821886446739
"72","Camarena","7",TRUE,"VTTBS",0.602410083839578,FALSE,0.792575225004104,1.94038206104422,0.182784827771962
"73","Camarena","8",TRUE,"VTTBS",0.600218371200142,FALSE,0.876477037670995,2.01296892059921,0.26224841212013
"74","Camarena","9",TRUE,"VTTBS",0.565419411070926,FALSE,0.835770273026876,1.78154781195653,0.172048078931679
"75","Camarena","10",TRUE,"VTTBS",0.569740740886357,FALSE,0.861303606049357,1.77387991866078,0.238038818174117
"76","Camarena","11",TRUE,"VTTBS",0.581465965318657,FALSE,0.796555992842495,1.88023605556709,0.292387237184707
"77","Camarena","2",TRUE,"VTTBS",0.565749906456717,FALSE,0.839614221495809,1.85862769757927,0.197702081653407
"78","FHL","1",TRUE,"VTTBS",0.515583137566787,FALSE,0.969514291243138,1.78701919029186,0.413563841477265
"79","FHL","2",TRUE,"VTTBS",0.511827583024892,FALSE,0.538414491920894,2.14544074865233,-0.260397547262055
