source,species,id,onlyTrainingOptimization,model,performance,adaptModelInTesting,parameter1,value1,parameter2,value2,parameter3,value3
HumScrm,humans,33,False,CorrectReply,0.49375,False,a ,0,,,,
Camarena,pigeons,11,False,CorrectReply,0.75240919199407,False,a ,0,,,,
HumScrm,humans,32,True,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,34,False,CorrectReply,0.534375,False,a ,0,,,,
HumScrm,humans,33,True,CorrectReply,0.49375,False,a ,0,,,,
HumScrm,humans,35,False,CorrectReply,0.496875,False,a ,0,,,,
HumScrm,humans,34,True,CorrectReply,0.534375,False,a ,0,,,,
HumScrm,humans,36,False,CorrectReply,0.49375,False,a ,0,,,,
RGMDL2,macaques,3,False,CorrectReply,0.858643924044669,False,a ,0,,,,
HumScrm,humans,37,False,CorrectReply,0.5275,False,a ,0,,,,
HumScrm,humans,35,True,CorrectReply,0.496875,False,a ,0,,,,
Camarena,pigeons,2,False,CorrectReply,0.709182389937107,False,a ,0,,,,
HumScrm,humans,38,False,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,36,True,CorrectReply,0.49375,False,a ,0,,,,
HumScrm,humans,39,False,CorrectReply,0.4875,False,a ,0,,,,
HumScrm,humans,37,True,CorrectReply,0.515625,False,a ,0,,,,
RGMDL1,macaques,2,False,CorrectReply,0.727340025465636,False,a ,0,,,,
HumScrm,humans,40,False,CorrectReply,0.5,False,a ,0,,,,
HumScrm,humans,38,True,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,41,False,CorrectReply,0.50625,False,a ,0,,,,
HumScrm,humans,39,True,CorrectReply,0.4875,False,a ,0,,,,
HumScrm,humans,42,False,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,40,True,CorrectReply,0.5,False,a ,0,,,,
HumScrm,humans,43,False,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,41,True,CorrectReply,0.50625,False,a ,0,,,,
HumScrm,humans,44,False,CorrectReply,0.515,False,a ,0,,,,
HumScrm,humans,42,True,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,45,False,CorrectReply,0.52,False,a ,0,,,,
HumScrm,humans,43,True,CorrectReply,0.509375,False,a ,0,,,,
HumScrm,humans,46,False,CorrectReply,0.55625,False,a ,0,,,,
HumScrm,humans,44,True,CorrectReply,0.521875,False,a ,0,,,,
HumScrm,humans,47,False,CorrectReply,0.48125,False,a ,0,,,,
RGMDL2,macaques,4,False,CorrectReply,0.870720979154714,False,a ,0,,,,
HumScrm,humans,45,True,CorrectReply,0.515625,False,a ,0,,,,
HumScrm,humans,48,False,CorrectReply,0.496875,False,a ,0,,,,
HumScrm,humans,46,True,CorrectReply,0.55625,False,a ,0,,,,
HumScrm,humans,49,False,CorrectReply,0.51,False,a ,0,,,,
HumScrm,humans,47,True,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,50,False,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,48,True,CorrectReply,0.496875,False,a ,0,,,,
HumScrm,humans,51,False,CorrectReply,0.475,False,a ,0,,,,
HumScrm,humans,49,True,CorrectReply,0.5125,False,a ,0,,,,
RGMDL1,macaques,3,False,CorrectReply,0.638488066067701,False,a ,0,,,,
HumScrm,humans,52,False,CorrectReply,0.46,False,a ,0,,,,
HumScrm,humans,50,True,CorrectReply,0.5125,False,a ,0,,,,
HumScrm,humans,53,False,CorrectReply,0.51875,False,a ,0,,,,
HumScrm,humans,51,True,CorrectReply,0.48125,False,a ,0,,,,
HumScrm,humans,54,False,CorrectReply,0.571875,False,a ,0,,,,
HumScrm,humans,52,True,CorrectReply,0.446875,False,a ,0,,,,
HumScrm,humans,55,False,CorrectReply,0.503125,False,a ,0,,,,
HumScrm,humans,56,False,CorrectReply,0.475,False,a ,0,,,,
HumScrm,humans,53,True,CorrectReply,0.51875,False,a ,0,,,,
HumScrm,humans,57,False,CorrectReply,0.5225,False,a ,0,,,,
HumScrm,humans,58,False,CorrectReply,0.503125,False,a ,0,,,,
HumScrm,humans,54,True,CorrectReply,0.571875,False,a ,0,,,,
HumScrm,humans,55,True,CorrectReply,0.503125,False,a ,0,,,,
HumScrm,humans,59,False,CorrectReply,0.490625,False,a ,0,,,,
HumScrm,humans,56,True,CorrectReply,0.475,False,a ,0,,,,
