"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","a","b"
"56","Camarena","11",TRUE,"RescorlaWagnerBS",0.607395956633819,FALSE,0.666588271086332,3.20278434610443
"57","RGMDL2","4",TRUE,"RescorlaWagnerBS",0.569894593993053,FALSE,-0.90392074091655,-0.559930695622485
"58","Camarena","2",TRUE,"RescorlaWagnerBS",0.571058222355074,FALSE,0.687156399012263,2.31807595253851
"59","Humans","1",TRUE,"RescorlaWagnerBS",0.653617486988308,FALSE,1.82008495213717,1.48638731821692
"60","Humans","3",TRUE,"RescorlaWagnerBS",0.629254599513098,FALSE,-1.27120755668963,1.17707658667275
"61","Humans","5",TRUE,"RescorlaWagnerBS",0.541662883510941,FALSE,-3.36867129625507,-2.99427966309633
"62","Humans","7",TRUE,"RescorlaWagnerBS",0.620453852988054,FALSE,1.48026659410927,1.58780825426171
"63","Humans","9",TRUE,"RescorlaWagnerBS",0.618446319756356,FALSE,1.17466444953647,2.12273991902534
"64","Humans","11",TRUE,"RescorlaWagnerBS",0.52768988685842,FALSE,0.375840799325132,1.61625758409126
"65","Humans","13",TRUE,"RescorlaWagnerBS",0.527775255673961,FALSE,3.3494216224318,3.19255630157007
"66","Humans","15",TRUE,"RescorlaWagnerBS",0.59971038230755,FALSE,2.60739679223832,0.633303450214002
"67","Humans","21",TRUE,"RescorlaWagnerBS",0.688473828968581,FALSE,0.860124140854383,-1.71052635172169
"68","Humans","23",TRUE,"RescorlaWagnerBS",0.529275677214038,FALSE,0.827980255188546,1.45378466364289
"69","Humans","25",TRUE,"RescorlaWagnerBS",0.518123714672817,FALSE,0.398879910126833,1.55667822467713
"70","Humans","27",TRUE,"RescorlaWagnerBS",0.611101022695844,FALSE,3.32918942874072,3.24862022698981
"71","Humans","29",TRUE,"RescorlaWagnerBS",0.647788194323649,FALSE,0.983364170813221,2.80989978758287
"72","Humans","31",TRUE,"RescorlaWagnerBS",0.632872346994393,FALSE,1.38821694347242,1.5216753941136
"73","Humans","33",TRUE,"RescorlaWagnerBS",0.638876278369805,FALSE,3.32622138639374,3.22520463138677
"74","Humans","35",TRUE,"RescorlaWagnerBS",0.62551700331534,FALSE,-1.88414013798157,-1.90447446067525
"75","Humans","37",TRUE,"RescorlaWagnerBS",0.55543326172261,FALSE,2.74071648252438,2.38697364936398
"76","Humans","41",TRUE,"RescorlaWagnerBS",0.529235549119859,FALSE,0.734780150350006,1.195537415532
"77","Humans","43",TRUE,"RescorlaWagnerBS",0.614840870213087,FALSE,-1.3758762586976,-0.833262246868217
"78","FHL","1",TRUE,"RescorlaWagnerBS",0.513967867797155,FALSE,1.00157285213131,0.37074951330911
"79","FHL","2",TRUE,"RescorlaWagnerBS",0.511326808218298,FALSE,0.535700796434833,2.15641049477637
"80","FHL","3",TRUE,"RescorlaWagnerBS",0.504490938817049,FALSE,0.406740554730337,1.99590958167058
"81","HumScrm","1",TRUE,"RescorlaWagnerBS",0.585227138933289,FALSE,0.841528212751765,2.69609335269745
"82","HumScrm","2",TRUE,"RescorlaWagnerBS",0.567099199424413,FALSE,1.36209426324865,0.563615165305634
"83","HumScrm","3",TRUE,"RescorlaWagnerBS",0.520325157495374,FALSE,2.98566621700786,0.013036400202997
"84","HumScrm","4",TRUE,"RescorlaWagnerBS",0.529586642388768,FALSE,2.76020598361605,1.77267716187597
"85","HumScrm","5",TRUE,"RescorlaWagnerBS",0.561445670669071,FALSE,1.00763383756386,1.47292092882006
"86","HumScrm","6",TRUE,"RescorlaWagnerBS",0.54367754614619,FALSE,1.47711566240291,0.016498057037407
"87","HumScrm","7",TRUE,"RescorlaWagnerBS",0.562494325266413,FALSE,3.47963808986026,2.95423467946038
"88","HumScrm","8",TRUE,"RescorlaWagnerBS",0.53044308154859,FALSE,0.437322461159958,2.20313508048578
