"","source","id","onlyTrainingOptimization","model","performance","adaptModelInTesting","h"
"136","Humans","1",TRUE,"Trabasso",0.805555555555556,FALSE,-0.5
"137","Humans","3",TRUE,"Trabasso",0.694444444444444,FALSE,-0.5
"138","Humans","5",TRUE,"Trabasso",0.861111111111111,FALSE,-0.5
"139","Humans","7",TRUE,"Trabasso",0.833333333333333,FALSE,-0.5
"140","Humans","9",TRUE,"Trabasso",0.577838827838828,FALSE,19.5
"141","Humans","11",TRUE,"Trabasso",0.694444444444444,FALSE,-0.5
"142","Humans","13",TRUE,"Trabasso",0.805555555555556,FALSE,-0.5
"143","Humans","15",TRUE,"Trabasso",0.631939299047293,FALSE,0.5714890625
"144","Humans","21",TRUE,"Trabasso",0.888888888888889,FALSE,-0.5
"145","Humans","23",TRUE,"Trabasso",0.805555555555556,FALSE,-0.5
"146","Humans","25",TRUE,"Trabasso",0.524725274725275,FALSE,19.5
"147","Humans","27",TRUE,"Trabasso",0.805555555555556,FALSE,-0.5
"148","Humans","29",TRUE,"Trabasso",0.527777777777778,FALSE,-0.5
"149","Humans","31",TRUE,"Trabasso",0.777777777777778,FALSE,-0.5
"150","Humans","33",TRUE,"Trabasso",0.75,FALSE,-0.5
"151","Humans","35",TRUE,"Trabasso",0.805555555555556,FALSE,-0.5
"152","Humans","37",TRUE,"Trabasso",0.805555555555556,FALSE,-0.5
"153","Humans","41",TRUE,"Trabasso",0.694444444444444,FALSE,-0.5
"154","Humans","43",TRUE,"Trabasso",0.777777777777778,FALSE,-0.5
"155","FHL","1",TRUE,"Trabasso",0.550744643262337,FALSE,0.5714890625
"156","FHL","2",TRUE,"Trabasso",0.569891421304901,FALSE,-0.5
"157","FHL","3",TRUE,"Trabasso",0.527597601497344,FALSE,0.5713890625
"158","RGMDL1","1",TRUE,"Trabasso",0.578104517271922,FALSE,-0.5
"159","RGMDL1","2",TRUE,"Trabasso",0.70179584120983,FALSE,-0.5
"160","RGMDL1","3",TRUE,"Trabasso",0.582527509169723,FALSE,-0.5
"161","RGMDL1","4",TRUE,"Trabasso",0.703381490375153,FALSE,-0.5
